loss,grad_norm,learning_rate,num_tokens,mean_token_accuracy,epoch,step,eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,eval_num_tokens,eval_mean_token_accuracy,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss
2.6859,0.9291232228279114,1e-05,98840.0,0.5396324336528778,0.5076142131979695,25,,,,,,,,,,,
,,,,,0.5076142131979695,25,2.684785842895508,7.1631,27.502,13.821,98840.0,0.5409017512292573,,,,,
2.6361,0.697533905506134,1e-05,195373.0,0.5419052501314694,1.0,50,,,,,,,,,,,
,,,,,1.0,50,2.6269679069519043,6.9731,28.251,14.197,195373.0,0.5416554357066299,,,,,
2.5809,0.6708019971847534,1e-05,294088.0,0.5457630577683449,1.5076142131979695,75,,,,,,,,,,,
,,,,,1.5076142131979695,75,2.5543057918548584,6.9854,28.202,14.172,294088.0,0.5529173299519703,,,,,
2.4832,1.9351648092269897,1e-05,390746.0,0.5613338544811171,2.0,100,,,,,,,,,,,
,,,,,2.0,100,2.4527699947357178,6.9459,28.362,14.253,390746.0,0.5614616058089517,,,,,
2.3889,0.6766447424888611,1e-05,489858.0,0.5662912049889565,2.5076142131979697,125,,,,,,,,,,,
,,,,,2.5076142131979697,125,2.3628196716308594,6.9755,28.242,14.193,489858.0,0.570871869120935,,,,,
2.3044,0.7306479215621948,1e-05,586119.0,0.5710079126136819,3.0,150,,,,,,,,,,,
,,,,,3.0,150,2.27586030960083,6.9658,28.281,14.212,586119.0,0.5718715907347323,,,,,
2.215,0.7176305055618286,1e-05,685515.0,0.5761657246947288,3.5076142131979697,175,,,,,,,,,,,
,,,,,3.5076142131979697,175,2.1851415634155273,6.9601,28.304,14.224,685515.0,0.5794840587510003,,,,,
2.1265,0.8017866015434265,1e-05,781492.0,0.5843021098485927,4.0,200,,,,,,,,,,,
,,,,,4.0,200,2.0840439796447754,7.0102,28.102,14.122,781492.0,0.6043575315764456,,,,,
2.0189,0.8397018909454346,1e-05,880600.0,0.6102343201637268,4.50761421319797,225,,,,,,,,,,,
,,,,,4.50761421319797,225,1.9703186750411987,6.9463,28.36,14.252,880600.0,0.6157200769944624,,,,,
1.8994,0.9452521204948425,1e-05,976865.0,0.6186602389075092,5.0,250,,,,,,,,,,,
,,,,,5.0,250,1.8455810546875,7.0646,27.886,14.014,976865.0,0.6247729063034058,,,,,
1.7676,1.0743862390518188,1e-05,1075685.0,0.6328338634967804,5.50761421319797,275,,,,,,,,,,,
,,,,,5.50761421319797,275,1.696642518043518,6.9292,28.43,14.287,1075685.0,0.6627727999831691,,,,,
1.6067,1.0938493013381958,1e-05,1172238.0,0.6696375762064433,6.0,300,,,,,,,,,,,
,,,,,6.0,300,1.5338218212127686,7.0431,27.971,14.056,1172238.0,0.6850994229316711,,,,,
1.436,1.4515111446380615,1e-05,1271604.0,0.7051701980829239,6.50761421319797,325,,,,,,,,,,,
,,,,,6.50761421319797,325,1.3376109600067139,6.9829,28.212,14.177,1271604.0,0.7324537713118274,,,,,
1.2174,1.8100532293319702,1e-05,1367611.0,0.754632732917353,7.0,350,,,,,,,,,,,
,,,,,7.0,350,1.1001745462417603,7.001,28.139,14.141,1367611.0,0.7991286239238701,,,,,
0.9882,1.3766847848892212,1e-05,1466464.0,0.8171306699514389,7.50761421319797,375,,,,,,,,,,,
,,,,,7.50761421319797,375,0.8856602311134338,6.9403,28.385,14.265,1466464.0,0.8398269733997307,,,,,
0.7908,1.3037008047103882,1e-05,1562984.0,0.8663695890878894,8.0,400,,,,,,,,,,,
,,,,,8.0,400,0.6986939311027527,6.9198,28.469,14.307,1562984.0,0.8910156410149853,,,,,
0.6207,1.1466765403747559,1e-05,1662170.0,0.9027580830454827,8.50761421319797,425,,,,,,,,,,,
,,,,,8.50761421319797,425,0.5375376343727112,6.9982,28.15,14.147,1662170.0,0.9142704768614336,,,,,
0.4691,1.0146722793579102,1e-05,1758357.0,0.9271023000024029,9.0,450,,,,,,,,,,,
,,,,,9.0,450,0.4018087685108185,7.0228,28.051,14.097,1758357.0,0.9373914009392864,,,,,
0.3611,0.5095223188400269,1e-05,1857629.0,0.9458162376284599,9.50761421319797,475,,,,,,,,,,,
,,,,,9.50761421319797,475,0.33048197627067566,6.893,28.58,14.362,1857629.0,0.9546336152336814,,,,,
0.3217,0.5637387633323669,1e-05,1953730.0,0.9544110835827503,10.0,500,,,,,,,,,,,
,,,,,10.0,500,0.3100340664386749,6.9535,28.331,14.237,1953730.0,0.9550207720862495,,,,,
,,,,,10.0,500,,,,,,,841.5376,9.506,0.594,1.6082997106931712e+16,1.6459223957061768
